;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;Metric;;Basic Prompt;Enhanced Prompt;Hybrid Prompt;;
;Relevance;;0,7;0,7;1;;Relevance;;1;1;1;;
;Coherence;;0,3;0,7;1;;Coherence;;1;0,7;0,7;;
;Factual Consistency;;0,3;0,7;0,7;;Factual Consistency;;1;1;1;;
;Fluency;;0,7;0,7;0,7;;Fluency;;1;0,7;0,7;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Overall usefulness;;;;;;;;;;;;
;;;;;;;;;;;;;
;Maintainer;;;;;;;;;;;;
;Basic Prompt;;;Enhanced Prompt;;;Hybrid Prompt;;;;;;
;Strongly Disagree;0;;Strongly Disagree;0;;Strongly Disagree;0;;;;;
;Disagree;1;;Disagree;1;;Disagree;1;;;;;
;Agree;3;;Agree;5;;Agree;6;;;;;
;Strongly Agree;4;;Strongly Agree;2;;Strongly Agree;1;;;;;
;;;;;;;;;;;;;
;2nd CSB;;;;;;;;;;;;
;Basic Prompt;;;Enhanced Prompt;;;Hybrid Prompt;;;;;;
;Strongly Disagree;0;;Strongly Disagree;0;;Strongly Disagree;0;;;;;
;Disagree;2;;Disagree;0;;Disagree;1;;;;;
;Agree;5;;Agree;4;;Agree;3;;;;;
;Strongly Agree;1;;Strongly Agree;4;;Strongly Agree;4;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Answer key prompt order;;;;;;;;;;;;
;;;;;;;;;;;;;
;Facultative CAM in Talinum;;;;;Malckova Talinum;;;;;;;
;Enhanced Prompt;;;;;Enhanced Prompt;;;;;;;
;Basic Prompt ;;;;;Hybrid Prompt;;;;;;;
;Hybrid Prompt ;;;;;Basic Prompt;;;;;;;
;;;;;;;;;;;;;
;BalancingNutrientRemobilizationAndPhotosynthesis;;;;;Chlamy heatstress;;;;;;;
;Hybrid Prompt ;;;;;Enhanced Prompt;;;;;;;
;Enhanced Prompt;;;;;Basic Prompt ;;;;;;;
;Basic Prompt ;;;;;Hybrid Prompt ;;;;;;;
;;;;;;;;;;;;;
;Physcomitrium patens light signaling;;;;;SFB175AraCore;;;;;;;
;Enhanced Prompt;;;;;Enhanced Prompt;;;;;;;
;Hybrid Prompt;;;;;Hybrid Prompt;;;;;;;
;Basic Prompt;;;;;Basic Prompt;;;;;;;
;;;;;;;;;;;;;
;Historical Phenomics Wheat Collection IPK;;;;;LPA2;;;;;;;
;Basic Prompt;;;;;Basic Prompt;;;;;;;
;Hybrid Prompt;;;;;Hybrid Prompt;;;;;;;
;Enhanced Prompt;;;;;Enhanced Prompt;;;;;;;
